Object ID,Class Name,Area
1,vege,2673
3,farm,58
5,farm,672
7,farm,1512
9,farm,328
12,farm,5240
14,farm,7
16,background,1867
18,buillding,325
20,buillding,63
22,buillding,332
24,farm,50
13,road,1137
15,buillding,2164
17,buillding,563
19,background,3709
21,background,29772
26,farm,2858
28,background,377
30,background,1527
32,background,4928
34,background,1336
36,background,214
29,vege,226
31,vege,1581
33,vege,3071
35,vege,796
37,buillding,791
39,buillding,2336
41,buillding,396
44,buillding,945
46,buillding,216
48,buillding,83
50,buillding,508
52,buillding,355
54,buillding,351
56,buillding,238
58,water,336
60,water,376
62,water,242
64,farm,3267
66,farm,147
68,farm,54
70,farm,45565
72,vege,853
74,buillding,4753
76,buillding,1438
78,water,511
80,water,854
93,buillding,861
95,buillding,180
101,background,232
103,background,208
105,background,13
107,background,333
109,background,44
111,background,74
113,background,221
115,vege,1584
117,vege,1881
120,background,203
122,background,156
124,background,162
126,background,37
128,background,33
130,background,461
82,farm,10019
84,farm,4618
86,background,1137
88,background,391
90,background,133
92,background,4622
94,background,2179
96,background,394
98,background,455
100,buillding,44
87,buillding,129
89,buillding,731
91,buillding,420
97,buillding,59
99,farm,6734
102,buillding,69
104,water,175
106,water,318
108,water,467
110,water,901
112,background,895
114,background,2549
116,background,1065
118,background,261
119,buillding,1631
121,buillding,2147
123,buillding,1540
125,buillding,486
127,buillding,165
129,buillding,82
131,water,314
133,water,493
135,water,709
137,farm,4384
139,background,561
141,background,1098
143,background,1838
145,background,1360
147,background,49
149,background,213
151,road,626
153,buillding,23
155,buillding,640
136,buillding,216
138,buillding,160
140,buillding,246
142,water,24
144,water,622
146,farm,755
148,farm,94
150,background,383
152,background,445
154,background,71
156,background,81
158,background,1152
160,background,7
162,background,373
164,buillding,36
157,buillding,504
159,buillding,72
161,buillding,224
166,buillding,83
168,buillding,399
170,buillding,31
172,buillding,280
175,buillding,327
177,buillding,472
179,buillding,10
181,buillding,24
183,buillding,453
185,buillding,434
187,buillding,116
189,buillding,60
191,water,63
193,water,1352
195,water,13
197,farm,450
199,farm,171
201,farm,547
203,background,966
205,background,106
207,background,366
209,background,125
211,background,620
213,background,37
215,background,15
217,background,20
219,background,431
221,background,5516
223,background,66
225,background,142
227,background,266
229,background,7
231,background,314
233,background,308
235,background,237
237,background,24
240,buillding,706
242,buillding,258
244,buillding,1107
246,buillding,930
248,buillding,383
250,buillding,803
200,vege,759
202,vege,2062
204,vege,4496
206,vege,29
208,buillding,297
210,buillding,177
212,buillding,9
214,buillding,203
216,buillding,407
218,buillding,673
220,buillding,200
222,buillding,1353
224,buillding,628
226,buillding,828
228,buillding,2329
230,buillding,2740
232,buillding,908
234,buillding,1442
236,buillding,1228
238,buillding,29
252,buillding,2332
254,buillding,94
256,buillding,40
258,buillding,37
260,buillding,1052
262,water,990
264,water,705
266,water,6155
268,water,1682
270,vege,3180
272,vege,1676
274,vege,627
276,vege,357
278,vege,125
280,vege,222
282,vege,2197
284,vege,4307
286,vege,1126
288,buillding,163
290,buillding,220
292,buillding,361
294,buillding,91
296,buillding,283
298,buillding,3970
300,buillding,517
302,buillding,1156
304,buillding,599
306,buillding,2307
308,buillding,1223
310,buillding,127
312,buillding,54
314,buillding,117
316,buillding,244
318,background,2408
320,background,88
322,water,789
324,water,1308
326,water,256
329,background,892
331,vege,379
333,vege,295
335,vege,4239
337,vege,476
339,farm,13
319,buillding,1582
328,water,779
330,water,468
332,farm,3234
334,background,439
341,farm,2844
343,farm,322
345,farm,1969
347,vege,1312
349,vege,12701
351,buillding,353
353,buillding,248
355,buillding,55
357,buillding,392
359,buillding,440
361,buillding,864
363,buillding,777
367,buillding,233
369,water,313
371,water,2055
373,water,1128
375,water,593
377,farm,3955
379,background,973
381,background,348
383,background,231
386,background,208
388,background,4959
390,buillding,139
392,buillding,250
395,vege,362
397,vege,353
365,buillding,207
380,farm,18
382,farm,11
384,background,63
394,background,980
396,background,1097
398,background,13
400,background,862
402,background,544
405,vege,149
409,buillding,532
411,buillding,280
378,water,1398
385,buillding,3358
387,buillding,1195
389,buillding,4360
399,vege,456
401,vege,3026
403,vege,2472
407,vege,138
413,buillding,191
415,buillding,321
417,buillding,13
419,buillding,11
421,buillding,193
423,buillding,284
425,buillding,70
427,farm,105
429,farm,27
432,farm,9
434,farm,421
436,farm,123
438,farm,43076
440,farm,308
442,farm,4769
444,farm,22090
446,background,144
448,background,196
450,background,557
452,background,28
454,background,71
456,background,63
458,background,73
460,background,202
462,background,261
464,background,201
466,background,225
468,background,16
471,buillding,1265
474,background,7
476,background,8
478,background,87
480,background,76
482,background,12
484,background,3680
486,background,2984
488,background,41
441,vege,1763
443,vege,7881
445,vege,293
447,vege,845
449,vege,6751
451,vege,2375
453,buillding,132
455,buillding,299
457,buillding,330
459,buillding,305
461,buillding,808
463,buillding,154
465,buillding,2160
467,buillding,218
469,buillding,302
473,buillding,6
475,buillding,118
477,buillding,417
479,buillding,2306
481,buillding,647
483,buillding,471
485,buillding,168
487,vege,701
489,vege,49
491,buillding,316
493,buillding,408
495,buillding,252
497,buillding,124
499,buillding,380
501,buillding,1131
503,buillding,1196
505,buillding,297
507,buillding,3052
509,buillding,1795
511,buillding,4272
513,buillding,5840
517,buillding,1332
519,buillding,878
521,buillding,212
523,water,773
525,water,571
527,water,141
529,water,346
531,water,329
533,water,689
515,buillding,801
535,water,1197
537,water,683
539,water,843
541,farm,1526
543,farm,6
545,farm,764
547,farm,706
549,farm,329
551,farm,123
553,buillding,450
555,buillding,130
557,buillding,361
559,buillding,26
561,buillding,134
563,buillding,2264
565,buillding,198
567,buillding,9
569,background,594
572,buillding,194
575,background,164
577,background,208
579,background,7959
581,background,1480
534,vege,807
536,vege,4030
538,vege,3961
540,vege,4843
542,buillding,563
544,buillding,1905
546,buillding,16
548,buillding,1031
550,buillding,207
570,buillding,1027
574,buillding,2390
576,buillding,1851
578,buillding,1167
580,buillding,248
582,buillding,53
584,buillding,25
586,buillding,205
588,buillding,56
590,buillding,379
593,buillding,95
596,buillding,1188
598,buillding,195
600,buillding,910
602,buillding,84
604,buillding,476
606,buillding,421
608,buillding,643
610,buillding,712
612,buillding,364
614,buillding,1617
617,buillding,540
619,buillding,372
621,buillding,257
623,buillding,293
625,vege,205
627,vege,35379
629,vege,2591
631,buillding,322
633,buillding,36
636,water,630
638,water,1766
640,water,513
642,water,3171
644,water,501
646,farm,3296
648,farm,380
650,farm,449
652,farm,414
654,farm,245
656,farm,213
658,farm,9
660,background,14
662,background,293
664,farm,81
666,background,258
668,vege,458
670,vege,258
672,vege,2016
674,buillding,1995
677,background,5323
680,buillding,632
682,buillding,149
684,buillding,929
686,buillding,234
688,buillding,342
690,buillding,97
692,buillding,59
694,water,1514
696,water,200
698,farm,40441
700,vege,11181
702,buillding,1487
704,buillding,30
706,buillding,7
708,buillding,2605
710,buillding,440
712,buillding,24
714,buillding,195
716,buillding,28
718,buillding,1524
721,background,135
723,background,1298
635,buillding,747
637,buillding,530
639,buillding,1196
641,buillding,1356
643,buillding,1163
645,water,1315
647,water,977
649,farm,600
651,farm,4237
653,farm,4149
655,buillding,7
657,buillding,14921
659,water,4289
661,background,3422
663,background,1261
665,background,204
667,background,62
669,background,227
671,background,35
673,farm,6626
675,background,24019
679,background,3904
681,background,287
683,background,298
685,background,492
687,background,309
689,background,223
676,buillding,793
678,buillding,135
717,background,49
719,background,60
725,background,66
727,background,7
729,background,125
731,background,143
720,buillding,13
722,buillding,36
724,buillding,200
726,buillding,94
728,buillding,247
730,buillding,283
732,buillding,89
735,buillding,71
737,buillding,414
739,buillding,337
741,buillding,307
743,water,151
745,water,676
747,water,1031
749,farm,55
751,background,2041
753,background,49
755,background,1846
757,background,122
759,background,549
762,vege,3759
764,buillding,551
767,background,6707
769,background,547
771,background,90
773,background,84
775,background,207
777,buillding,235
779,buillding,634
785,buillding,271
788,background,6
790,background,6
793,background,6
796,buillding,185
798,water,3008
800,water,569
802,water,172
804,farm,355
748,vege,331
750,vege,1934
752,vege,2066
754,vege,380
756,vege,2584
758,vege,1734
760,vege,6764
766,buillding,1449
768,buillding,989
770,buillding,690
772,buillding,690
774,buillding,336
781,buillding,1724
783,buillding,1631
787,buillding,1233
789,buillding,642
791,buillding,12
794,buillding,60
806,farm,320
810,farm,74
812,farm,245
814,farm,312
817,vege,557
819,vege,538
821,vege,5150
823,buillding,1546
825,buillding,739
827,buillding,46
829,buillding,954
831,buillding,125
833,buillding,122
837,buillding,1275
839,buillding,379
841,buillding,420
843,buillding,481
845,buillding,745
847,buillding,995
849,buillding,3999
851,buillding,259
853,buillding,885
855,background,62
857,buillding,299
859,buillding,21
861,background,13
863,background,1708
865,background,200
867,background,140
869,background,102
871,background,2457
873,background,285
875,background,1146
877,background,561
879,background,445
881,background,324
883,background,87
813,vege,8992
815,vege,6450
835,buillding,1245
862,buillding,580
864,buillding,436
866,buillding,250
868,buillding,380
870,buillding,124
872,buillding,168
874,buillding,689
876,buillding,217
878,buillding,120
880,buillding,30
882,buillding,15
884,buillding,198
886,buillding,90
888,water,344
890,farm,1148
892,farm,935
896,farm,203
898,buillding,2529
900,water,484
902,water,1278
904,farm,566
906,buillding,445
908,buillding,1130
910,buillding,52
912,buillding,437
914,buillding,48
916,buillding,387
918,background,291
920,background,40
922,background,860
924,background,3259
926,background,5557
928,buillding,402
930,buillding,648
932,buillding,263
934,buillding,368
936,buillding,734
938,buillding,455
940,buillding,462
944,water,1005
946,farm,1074
949,buillding,377
951,buillding,317
953,buillding,258
956,vege,1550
958,vege,255
960,vege,843
962,buillding,9
964,buillding,1157
966,buillding,118
968,buillding,132
887,vege,161
889,buillding,3416
891,buillding,1306
893,water,388
895,water,171
897,water,1112
899,farm,785
919,buillding,85
921,buillding,950
923,buillding,191
925,buillding,199
942,buillding,252
948,background,38
950,background,3086
952,background,34
954,background,394
965,background,48
967,background,325
939,vege,492
941,vege,423
943,vege,226
945,buillding,8
947,buillding,210
955,buillding,325
957,buillding,179
959,buillding,964
961,farm,362
963,background,236
969,background,12
971,background,82
970,buillding,45
972,farm,8177
974,farm,132
976,farm,285
978,water,37984
980,background,4897
982,vege,29515
984,buillding,766
987,background,87
989,background,109
973,buillding,100
975,water,763
986,buillding,738
988,buillding,1276
990,buillding,914
992,buillding,1814
994,buillding,2421
996,buillding,1569
998,buillding,2898
1000,water,247
1002,water,29
1004,water,319
1006,water,927
1008,water,76
1010,water,628
1012,water,29
1014,water,1071
1016,vege,5937
1018,vege,295
1020,vege,250
1022,vege,1804
1024,vege,2203
1026,buillding,661
1028,buillding,1149
1030,buillding,1551
1032,buillding,798
1034,buillding,34
1036,water,786
1038,water,931
1040,water,760
1042,water,292
1044,water,995
1049,background,181
1052,vege,6013
1046,water,259
1048,water,51
1050,vege,27546
1054,vege,6449
1056,buillding,1746
1058,buillding,2677
1061,farm,1212
1063,farm,458
1065,background,2651
1067,background,1260
1069,background,3844
1071,background,582
1073,background,18
1075,background,405
1077,background,480
1079,background,1086
1081,background,113
1083,background,5229
1060,water,641
1062,water,470
1064,water,991
1066,farm,6848
1068,farm,6931
1070,vege,1645
1072,vege,5272
1074,vege,3084
1076,buillding,339
1078,buillding,1780
1085,background,1705
1088,buillding,1223
1091,background,138
1080,buillding,336
1082,buillding,237
1084,buillding,765
1086,buillding,315
1090,buillding,1309
1092,buillding,295
1094,buillding,272
1096,buillding,1534
1098,buillding,171
1100,buillding,1392
1102,buillding,879
1104,buillding,521
1106,buillding,474
1108,buillding,29
1110,buillding,1255
1112,buillding,478
1114,buillding,264
1116,buillding,940
1118,buillding,5344
1120,buillding,2587
1122,water,44
1124,water,392
1126,water,329
1128,water,403
1130,water,231
1132,water,433
1134,water,774
1136,water,1933
1138,farm,7707
1140,farm,9587
1142,background,378
1144,background,138
1146,background,57
1148,background,33
1150,background,63
1152,background,181
1154,background,491
1156,background,331
1158,background,292
1160,background,998
1162,background,55
1164,background,10
1166,background,1697
1168,background,157
1170,background,344
1172,background,2980
1174,background,24
1177,background,36
1179,background,356
1181,background,182
1183,background,61
1185,background,17
1187,vege,640
1189,vege,436
1191,buillding,1864
1131,vege,356
1133,vege,325
1135,vege,162
1137,vege,522
1139,vege,2112
1141,vege,2665
1143,buillding,228
1145,buillding,814
1147,buillding,5455
1149,buillding,990
1151,buillding,1113
1153,buillding,609
1155,buillding,736
1157,buillding,590
1159,buillding,682
1161,buillding,3938
1163,buillding,1415
1165,buillding,778
1167,buillding,289
1169,buillding,1277
1171,buillding,1177
1173,buillding,987
1176,buillding,3622
1178,buillding,1961
1180,water,1441
1182,water,740
1184,farm,16854
1186,farm,344
1188,background,1958
1190,farm,328
1192,farm,103
1194,background,135
1196,background,16
1198,background,6
1200,water,479
1202,water,667
1204,water,1198
1206,water,723
1208,water,44
1210,background,1312
1212,background,432
1214,background,63
1216,background,45
1218,background,641
1220,background,1509
1222,background,1390
1224,background,324
1226,background,21
1228,background,4943
1230,background,580
1232,background,1353
1234,background,99
1236,farm,617
1193,buillding,2682
1195,buillding,777
1197,water,313
1209,vege,769
1211,vege,8733
1213,buillding,261
1215,buillding,446
1217,buillding,647
1219,buillding,87
1221,buillding,838
1223,buillding,1002
1225,buillding,37
1227,buillding,871
1229,buillding,1370
1231,water,211
1233,water,796
1235,farm,250
1237,farm,251
1239,farm,715
1241,farm,56
1243,background,27
1245,vege,5362
1247,buillding,44
1249,buillding,41
1251,farm,169
1253,farm,765
1255,farm,339
1257,background,412
1259,water,5347
1262,vege,938
1238,farm,419
1240,farm,1071
1242,background,3667
1244,background,80
1246,background,8347
1248,background,224
1250,background,326
1252,background,1358
1261,background,6224
1263,background,2005
1265,background,961
1267,background,210
1269,background,86
1271,background,207
1264,buillding,867
1266,buillding,121
1268,buillding,425
1270,buillding,1751
1272,buillding,210
1274,buillding,224
1276,buillding,282
1279,farm,363
1281,background,386
1283,vege,7135
1285,buillding,525
1287,buillding,42
1289,buillding,1186
1291,buillding,2548
1293,buillding,154
1295,buillding,14
1297,buillding,1486
1299,buillding,257
1301,background,32
1282,vege,823
1302,buillding,337
1304,buillding,497
1306,buillding,278
1308,buillding,52
1310,buillding,873
1312,vege,15922
1314,water,767
1316,water,326
1318,water,402
1320,background,129
1322,background,100
1324,background,2481
1326,background,50
1328,background,36
1330,background,275
1332,background,53
1334,background,105
1336,background,199
1338,background,7
1340,background,52
1319,vege,2686
1321,vege,1452
1323,vege,2861
1325,vege,288
1327,vege,4023
1329,buillding,1961
1331,buillding,2642
1333,buillding,1028
1335,water,693
1337,vege,4369
1339,vege,1567
1341,vege,859
1343,buillding,1742
1345,buillding,462
1347,buillding,1173
1350,background,73
1352,background,4992
1354,background,18
1349,buillding,446
1351,buillding,272
1353,buillding,340
1355,buillding,457
1358,buillding,1147
1360,buillding,57
1362,buillding,12
1364,buillding,915
1366,buillding,1829
1368,buillding,91
1370,buillding,149
1372,buillding,89
1374,water,1577
1376,water,141
1378,water,26
1380,water,230
1382,farm,39
1384,farm,1767
1386,farm,53
1388,farm,1097
1390,farm,18
1392,background,7801
1394,background,6340
1396,background,44
1398,background,70
1400,background,6
1402,background,388
1404,background,282
1406,background,345
1408,background,43
1410,background,186
1412,background,159
1414,background,1137
1416,vege,7
1418,buillding,67
1420,background,2258
1422,background,243
1424,background,246
1426,background,372
1428,background,131
1430,background,43
1432,background,222
1385,buillding,780
1387,buillding,741
1389,water,892
1391,water,634
1393,farm,2133
1395,farm,1109
1397,buillding,439
1399,farm,1363
1401,farm,11734
1403,background,772
1405,farm,440
1407,vege,29847
1409,buillding,1229
1411,background,241
1413,buillding,21
1415,farm,17
1417,farm,711
1419,buillding,119
1421,buillding,350
1423,buillding,110
1425,buillding,16
1427,buillding,68
1429,buillding,186
1431,buillding,10
1433,vege,157
1435,vege,329
1437,road,1362
1439,water,6067
1441,farm,1207
1443,farm,4005
1445,background,1455
1446,farm,393
1448,farm,1096
1450,farm,615
1452,vege,1062
1454,vege,16070
1456,vege,24354
1458,vege,23315
1460,road,1227
1462,farm,2390
1541,background,36
1544,background,7910
1558,background,9
1560,background,6
1463,road,60
1467,vege,7905
1474,water,515
1476,water,76
1478,water,749
1481,farm,13391
1483,farm,1432
1485,farm,1360
1490,background,1659
1496,background,842
1469,vege,319
1471,vege,38211
1473,vege,2712
1475,vege,1168
1477,vege,68
1479,vege,21749
1482,buillding,60
1484,buillding,1032
1486,buillding,1515
1488,background,5191
1491,vege,15685
1492,background,14629
1494,background,8318
1498,background,2704
1500,background,3832
1502,background,171
1493,buillding,1480
1495,buillding,191
1497,buillding,79
1499,buillding,2069
1501,buillding,1398
1503,buillding,1005
1505,buillding,6272
1507,buillding,144
1509,background,1433
1511,buillding,199
1513,buillding,66
1515,buillding,42
1517,buillding,332
1510,road,310
1519,buillding,127
1521,buillding,60
1523,buillding,1030
1525,buillding,3684
1527,buillding,306
1529,buillding,571
1531,buillding,382
1533,buillding,1002
1535,buillding,1628
1537,buillding,1039
1539,background,187
1543,vege,2259
1545,vege,1249
1547,vege,3771
1549,vege,476
1551,vege,519
1553,vege,2058
1555,buillding,252
1557,buillding,2125
1540,buillding,704
1542,background,3161
1546,background,1197
1548,background,303
1550,background,868
1559,farm,12602
1561,farm,56072
1569,vege,1006
1571,vege,2408
1573,vege,217
1575,vege,1527
1577,vege,3667
1579,vege,1073
1581,vege,2116
1583,vege,2934
