Object ID,Class Name,Area
1,low vegetation,4005
3,low vegetation,5681
6,low vegetation,873
8,ground,3612
10,ground,71284
12,ground,221
7,water,804
9,building,757
11,building,499
13,building,2566
15,building,145
17,building,5887
19,building,3592
23,building,386
25,low vegetation,85201
27,low vegetation,66
29,low vegetation,2466
33,low vegetation,330
35,low vegetation,9
37,low vegetation,9
39,low vegetation,1247
41,low vegetation,21
44,building,114
50,low vegetation,514
52,low vegetation,15186
54,low vegetation,399
58,ground,19033
60,ground,20608
62,ground,193
64,ground,212
66,tree,26
68,tree,1006
70,building,6806
72,tree,5226
74,building,420
76,tree,24
78,tree,313
38,water,1900
40,building,248
42,building,97
49,building,35
59,building,8
61,building,22
67,building,19770
79,building,473
81,low vegetation,65
83,low vegetation,193
85,low vegetation,459
87,ground,2459
89,building,312
92,building,272
104,low vegetation,3141
106,low vegetation,10858
108,low vegetation,45
111,low vegetation,4474
113,low vegetation,927
115,low vegetation,2682
117,low vegetation,815
120,ground,56
122,ground,820
124,tree,73
126,ground,405
128,tree,20037
130,tree,1158
133,building,113
136,tree,92
141,low vegetation,276
144,tree,20
146,tree,6
148,tree,234
150,tree,2385
152,tree,2844
154,tree,945
77,building,369
91,building,1760
93,building,2049
95,building,344
97,building,207
99,building,100
101,building,492
103,building,188
105,building,1127
107,building,166
109,low vegetation,2486
116,ground,1381
119,ground,251
127,building,672
121,ground,191
123,ground,202
125,building,303
129,building,1477
131,building,63
135,building,263
137,low vegetation,83544
139,low vegetation,10716
143,low vegetation,1462
145,low vegetation,1915
147,ground,38404
149,low vegetation,262
151,low vegetation,2273
153,ground,22241
155,ground,52898
157,ground,1054
159,ground,677
161,ground,1994
163,building,515
165,building,930
167,low vegetation,3289
169,ground,5652
172,tree,2544
175,ground,469
177,ground,333
171,ground,6995
173,ground,1085
179,ground,83
181,ground,962
183,ground,838
185,ground,342
187,tree,221
176,building,780
178,building,6426
180,building,215
182,building,804
184,building,817
186,building,3111
188,building,12399
190,low vegetation,810
192,low vegetation,271
194,low vegetation,1791
196,low vegetation,78
198,low vegetation,3185
200,low vegetation,196
202,ground,1044
204,ground,3340
206,ground,504
208,ground,381
210,ground,1843
212,ground,736
195,building,9468
197,building,5498
201,building,132
203,building,360
205,building,134
207,building,604
209,low vegetation,3326
211,low vegetation,54
213,low vegetation,1548
217,low vegetation,850
219,low vegetation,282
223,low vegetation,162
225,low vegetation,314
227,low vegetation,473
229,low vegetation,827
231,low vegetation,1111
233,low vegetation,273
235,low vegetation,193
237,low vegetation,2158
239,low vegetation,1779
241,low vegetation,23105
243,low vegetation,243
245,low vegetation,657
247,low vegetation,931
249,low vegetation,553
251,low vegetation,1286
254,low vegetation,1152
256,low vegetation,582
258,low vegetation,7740
260,low vegetation,2043
262,low vegetation,191
264,low vegetation,234
267,building,230
270,ground,5019
272,ground,233
276,building,1781
278,building,6280
280,building,2723
282,building,12924
284,building,11066
286,building,572
288,low vegetation,42702
290,low vegetation,2740
238,building,1294
240,building,626
242,building,454
244,building,1011
246,building,4574
248,building,1199
250,low vegetation,582
252,low vegetation,1415
266,sports field,1429
268,ground,4215
255,building,4678
257,building,358
259,building,366
261,building,2635
263,building,352
265,building,12300
269,building,11978
271,building,628
273,low vegetation,356
275,low vegetation,193
277,low vegetation,669
279,low vegetation,1691
281,low vegetation,304
283,low vegetation,865
285,low vegetation,4940
287,low vegetation,205
289,low vegetation,155
291,ground,18577
274,water,337
292,low vegetation,692
294,low vegetation,1125
296,low vegetation,991
298,low vegetation,1189
300,low vegetation,26159
302,low vegetation,3330
304,ground,13
306,ground,29
308,ground,228
310,ground,592
312,ground,67
314,ground,7
317,ground,593
319,ground,2327
321,ground,631
323,ground,1517
325,building,3701
327,building,10642
301,low vegetation,229
303,low vegetation,581
305,ground,2419
307,ground,1831
309,ground,869
