Object ID,Class Name,Area
1,vege,2673
3,farm,58
5,farm,672
7,farm,1512
9,farm,328
11,farm,1
13,farm,5240
15,farm,7
17,background,1867
19,buillding,325
21,buillding,63
23,buillding,332
25,farm,50
14,road,1137
16,buillding,2164
18,buillding,563
20,background,3709
22,background,29772
27,farm,2858
29,background,377
31,background,1527
33,background,4928
35,background,1336
37,background,214
30,vege,226
32,vege,1581
34,vege,3071
36,vege,796
38,buillding,791
40,buillding,2336
42,buillding,396
44,buillding,3
46,buillding,945
48,buillding,216
50,buillding,83
52,buillding,508
54,buillding,355
56,buillding,351
58,buillding,238
60,water,336
62,water,376
64,water,242
66,farm,3267
68,farm,147
70,farm,54
72,farm,45565
74,farm,2376
76,farm,1740
78,farm,3960
80,background,1157
82,background,1125
84,background,4
86,background,5
88,background,3
90,vege,853
92,buillding,4753
94,buillding,1438
96,water,511
98,water,854
100,farm,10019
102,farm,4618
104,background,1137
106,buillding,129
108,buillding,731
110,buillding,420
112,buillding,861
114,buillding,180
116,buillding,59
118,farm,6734
120,background,232
122,background,208
124,background,13
126,background,333
128,background,44
130,background,74
132,background,240
134,vege,1584
136,vege,1881
138,buillding,1631
140,buillding,2147
142,buillding,1540
144,buillding,486
146,buillding,165
148,buillding,82
119,buillding,44
121,buillding,69
123,water,175
125,water,318
127,water,467
129,water,901
131,background,895
133,background,2549
135,background,1065
137,background,261
139,background,203
141,background,156
143,background,162
145,background,37
147,background,33
150,water,314
152,water,493
154,water,709
156,farm,4384
158,background,561
160,background,1098
162,background,1838
164,background,1360
166,background,49
168,background,213
170,road,626
172,buillding,23
174,buillding,640
155,buillding,216
157,buillding,160
159,buillding,246
161,water,24
163,water,622
165,farm,755
167,farm,94
169,background,383
171,background,445
173,background,71
175,background,81
177,background,1152
179,background,7
181,background,373
183,background,210
176,buillding,504
178,buillding,72
180,buillding,224
182,buillding,3
184,buillding,36
186,buillding,83
188,buillding,399
190,buillding,31
192,buillding,280
194,buillding,1
196,buillding,327
198,buillding,472
200,buillding,10
202,buillding,24
204,buillding,453
206,buillding,434
208,buillding,116
210,buillding,60
212,water,63
214,water,1352
216,water,13
218,farm,450
220,farm,171
222,vege,759
224,vege,2062
226,vege,4496
228,vege,29
230,buillding,297
232,buillding,177
234,buillding,9
236,buillding,203
238,buillding,407
240,buillding,673
242,buillding,200
244,buillding,1353
246,buillding,628
248,buillding,828
250,buillding,2329
252,buillding,2740
254,buillding,908
256,buillding,1442
258,buillding,1228
260,buillding,29
262,buillding,706
264,buillding,258
266,buillding,1107
268,buillding,930
270,buillding,383
272,buillding,803
274,buillding,2332
276,buillding,94
278,buillding,40
280,buillding,37
282,buillding,1052
284,water,990
286,water,705
288,water,6155
290,water,1682
292,water,523
294,water,853
296,water,876
298,water,232
300,water,129
302,farm,240
304,farm,1692
306,farm,783
308,background,194
310,background,11
312,background,156
314,background,22
316,background,5217
318,background,13
320,background,46
322,background,1195
324,background,1043
326,background,6
328,background,221
330,background,7
332,background,613
334,background,22727
336,background,232
338,background,96
340,background,2408
342,background,88
344,background,206
346,background,17
348,background,311
350,background,1
352,background,892
354,background,29
356,background,123
358,background,431
360,background,1159
362,background,913
293,vege,3180
295,vege,1676
297,vege,627
299,vege,357
301,vege,125
303,vege,222
305,vege,2197
307,vege,4307
309,vege,1126
311,buillding,163
313,buillding,220
315,buillding,361
317,buillding,91
319,buillding,283
321,buillding,3970
323,buillding,517
325,buillding,1156
327,buillding,599
329,buillding,2307
331,buillding,1223
333,buillding,127
335,buillding,54
337,buillding,117
339,buillding,244
341,buillding,3
343,buillding,1582
345,buillding,5
347,water,789
349,water,1308
351,water,256
353,water,779
355,water,468
357,farm,3234
359,background,439
361,vege,379
363,vege,295
365,vege,4239
367,vege,476
369,farm,13
371,farm,2844
373,farm,322
375,farm,1969
377,farm,31687
379,farm,1637
381,background,102
383,background,157
385,background,355
387,background,3487
389,background,35
391,background,2
393,background,2
395,background,4
397,background,1
399,background,221
401,background,1
403,background,232
405,background,26
407,background,973
409,background,348
411,background,231
413,background,3
415,background,147
417,water,1398
419,farm,18
421,farm,11
423,background,63
425,background,208
427,background,55
382,vege,1312
384,vege,12701
386,buillding,353
388,buillding,248
390,buillding,55
392,buillding,392
394,buillding,440
396,buillding,864
398,buillding,777
400,buillding,207
402,buillding,233
404,water,313
406,water,2055
408,water,1128
410,water,593
412,farm,3955
414,farm,1
416,farm,2234
418,farm,330
420,farm,123
422,background,142
424,buillding,3358
426,buillding,1195
428,buillding,4360
430,farm,4
432,background,16
434,background,6841
436,vege,362
438,vege,353
440,vege,456
442,vege,3026
444,vege,2472
446,vege,149
448,vege,138
450,buillding,532
431,buillding,139
433,buillding,250
435,background,980
437,background,1097
439,background,13
452,buillding,280
454,buillding,191
456,buillding,321
458,buillding,13
460,buillding,11
462,buillding,193
464,buillding,284
466,buillding,70
468,farm,105
470,farm,27
472,farm,3
474,farm,9
476,farm,421
478,farm,123
480,farm,43076
482,farm,308
484,farm,4769
486,farm,22090
488,background,144
490,background,196
492,background,557
494,background,28
496,background,71
498,background,63
500,background,73
502,background,202
504,background,261
506,background,201
508,background,225
510,background,16
512,background,3
514,background,316
516,background,5
518,background,7
520,background,8
522,background,87
524,background,76
526,background,12
528,background,3680
530,background,2984
532,background,41
485,vege,1763
487,vege,7881
489,vege,293
491,vege,845
493,vege,6751
495,vege,2375
497,buillding,132
499,buillding,299
501,buillding,330
503,buillding,305
505,buillding,808
507,buillding,154
509,buillding,2160
511,buillding,218
513,buillding,302
515,buillding,1265
517,buillding,6
519,buillding,118
521,buillding,417
523,buillding,2306
525,buillding,647
527,buillding,471
529,buillding,168
531,buillding,1130
533,vege,701
535,vege,49
537,buillding,316
539,buillding,408
541,buillding,252
543,buillding,124
545,buillding,380
547,buillding,1131
549,buillding,1196
551,buillding,297
553,buillding,3052
555,buillding,1795
557,buillding,4272
559,buillding,5840
561,buillding,801
563,buillding,1332
565,buillding,878
567,buillding,212
569,water,773
571,water,571
573,water,141
575,water,346
577,water,329
579,water,689
581,water,1197
583,water,683
585,water,843
587,farm,1526
589,farm,6
591,farm,764
593,farm,706
595,farm,329
597,farm,123
599,farm,25
601,background,168
603,background,6967
605,background,1228
607,background,28
609,background,427
611,background,3896
613,background,1065
615,background,594
617,background,4
619,background,1126
621,background,5
623,background,164
625,background,208
627,background,7959
629,background,1480
582,vege,807
584,vege,4030
586,vege,3961
588,vege,4843
590,buillding,563
592,buillding,1905
594,buillding,16
596,buillding,1031
598,buillding,207
600,buillding,1
602,buillding,450
604,buillding,130
606,buillding,361
608,buillding,26
610,buillding,134
612,buillding,2264
614,buillding,198
616,buillding,9
618,buillding,3
620,buillding,1027
622,buillding,194
624,buillding,2390
626,buillding,1851
628,buillding,1167
630,buillding,248
632,buillding,53
634,buillding,25
636,buillding,205
638,buillding,56
640,buillding,379
642,buillding,1
644,buillding,95
646,buillding,2
648,buillding,1188
650,buillding,195
652,buillding,910
654,buillding,84
656,buillding,476
658,buillding,421
660,buillding,643
662,buillding,712
664,buillding,364
666,buillding,1617
668,buillding,1
670,buillding,540
672,buillding,372
674,buillding,257
676,buillding,293
678,buillding,2029
680,buillding,1006
682,vege,205
684,vege,35379
686,vege,2591
688,buillding,322
690,buillding,36
692,buillding,747
694,buillding,530
696,buillding,1196
698,buillding,1356
700,buillding,1163
702,water,1315
704,water,977
706,farm,600
708,farm,4237
710,farm,4149
712,buillding,7
714,buillding,14921
716,water,4289
718,farm,1
720,farm,1
722,farm,1
724,farm,81
726,farm,1
728,farm,1
730,farm,1
732,farm,1
734,farm,1
736,farm,1
738,farm,1
740,farm,6626
742,background,24019
744,background,5323
746,background,3904
748,background,287
750,background,298
752,background,492
754,background,309
756,background,223
758,background,117
760,background,211
762,background,562
764,background,741
766,background,220
768,vege,11181
770,buillding,1487
772,buillding,30
774,buillding,7
776,buillding,2605
778,buillding,440
780,buillding,24
735,vege,458
737,vege,258
739,vege,2016
741,buillding,1995
743,buillding,793
745,buillding,135
747,buillding,632
749,buillding,149
751,buillding,929
753,buillding,234
755,buillding,342
757,buillding,97
759,buillding,59
761,water,1514
763,water,200
765,farm,40441
767,farm,179
769,farm,2659
771,farm,1260
773,background,1332
775,background,3901
777,background,7344
779,background,25
781,background,7
783,background,5
785,background,49
787,background,60
789,background,135
791,background,1298
793,background,66
795,background,7
797,background,125
799,background,143
782,buillding,195
784,buillding,28
786,buillding,1524
788,buillding,13
790,buillding,36
792,buillding,200
794,buillding,94
796,buillding,247
798,buillding,283
800,buillding,89
802,buillding,2
804,buillding,71
806,buillding,414
808,buillding,337
810,buillding,307
812,water,151
814,water,676
816,water,1031
818,farm,55
820,background,2041
822,background,49
824,background,1846
826,vege,331
828,vege,1934
830,vege,2066
832,vege,380
834,vege,2584
836,vege,1734
838,vege,6764
840,vege,3759
842,buillding,551
844,buillding,1449
846,buillding,989
848,buillding,690
850,buillding,690
852,buillding,336
854,buillding,2
856,buillding,235
858,buillding,634
860,buillding,1724
862,buillding,1631
864,buillding,271
866,buillding,1233
868,buillding,642
870,buillding,12
872,buillding,2
874,buillding,60
876,buillding,185
878,water,3008
880,water,569
882,water,172
884,farm,355
886,farm,320
888,farm,1
890,farm,1
892,farm,74
894,farm,245
896,farm,312
898,vege,8992
900,vege,6450
902,vege,557
904,vege,538
906,vege,5150
908,buillding,1546
910,buillding,739
912,buillding,46
914,buillding,954
916,buillding,125
918,buillding,122
920,buillding,1245
922,buillding,1275
924,buillding,379
926,buillding,420
928,buillding,481
930,buillding,745
932,buillding,995
934,buillding,3999
936,buillding,259
938,buillding,885
940,buillding,1
942,buillding,2
944,buillding,299
946,buillding,21
948,buillding,3
950,buillding,580
952,buillding,436
954,buillding,250
956,buillding,380
958,buillding,124
960,buillding,168
962,buillding,689
964,buillding,217
966,buillding,120
968,buillding,30
970,buillding,15
972,buillding,198
974,buillding,90
976,water,344
978,farm,1148
980,farm,935
982,farm,3
984,farm,4
986,farm,203
988,farm,161
990,farm,161
992,background,1607
994,background,546
996,background,646
998,background,385
1000,background,211
1002,background,1201
1004,background,906
1006,background,23
1008,background,291
1010,background,40
1012,background,860
1014,background,3259
1016,background,5557
1018,background,246
1020,background,112
1022,background,4254
1024,background,40
1026,background,187
1028,background,2029
1030,background,1119
1032,background,1
1034,background,2
1036,background,7
1038,background,1367
1040,background,3
1042,background,100
1044,background,12
1046,background,115
1048,background,1
1050,background,46
1052,background,112
1054,background,167
1056,background,184
1058,vege,1550
1060,vege,255
1062,vege,843
981,vege,161
983,buillding,3416
985,buillding,1306
987,water,388
989,water,171
991,water,1112
993,farm,785
995,farm,2
997,buillding,2529
999,water,484
1001,water,1278
1003,farm,566
1005,buillding,445
1007,buillding,1130
1009,buillding,52
1011,buillding,437
1013,buillding,48
1015,buillding,387
1017,buillding,2
1019,buillding,85
1021,buillding,950
1023,buillding,191
1025,buillding,199
1027,buillding,1
1029,buillding,402
1031,buillding,648
1033,buillding,263
1035,buillding,368
1037,buillding,734
1039,buillding,455
1041,vege,492
1043,vege,423
1045,vege,226
1047,buillding,8
1049,buillding,210
1051,buillding,377
1053,buillding,317
1055,buillding,258
1057,buillding,325
1059,buillding,179
1061,buillding,964
1063,farm,362
1065,background,236
1067,background,48
1069,background,325
1071,background,12
1073,background,82
1064,buillding,9
1066,buillding,1157
1068,buillding,118
1070,buillding,132
1072,buillding,45
1074,farm,8177
1076,buillding,100
1078,water,763
1080,water,1
1082,water,37984
1084,background,4897
1086,vege,29515
1088,buillding,766
1090,buillding,738
1092,buillding,1276
1094,buillding,914
1096,buillding,1814
1098,buillding,2421
1100,buillding,1569
1102,buillding,2898
1104,water,247
1106,water,29
1108,water,319
1110,water,927
1112,water,76
1114,water,628
1116,water,29
1118,water,1071
1120,water,1242
1122,water,1253
1124,vege,5937
1126,vege,295
1128,vege,250
1130,vege,1804
1132,vege,2203
1134,buillding,661
1136,buillding,1149
1138,buillding,1551
1140,buillding,798
1142,buillding,34
1144,water,786
1146,water,931
1148,water,760
1150,water,292
1152,water,995
1154,water,259
1156,water,51
1158,farm,283
1160,farm,1612
1162,farm,1137
1164,farm,252
1166,farm,468
1168,farm,1
1170,farm,1212
1172,farm,458
1174,background,2651
1176,background,1260
1178,background,3844
1180,background,582
1182,vege,1645
1184,vege,5272
1186,vege,3084
1188,buillding,339
1190,buillding,1780
1192,buillding,336
1159,vege,27546
1161,vege,6013
1163,vege,6449
1165,buillding,1746
1167,buillding,2677
1169,water,641
1171,water,470
1173,water,991
1175,farm,6848
1177,farm,6931
1179,farm,168
1181,background,73
1183,background,979
1185,background,71
1187,background,996
1189,background,2
1191,background,113
1193,background,5229
1195,background,1705
1197,background,3
1199,background,642
1201,background,1
1203,background,138
1194,buillding,237
1196,buillding,765
1198,buillding,315
1200,buillding,1223
1202,buillding,1309
1204,buillding,295
1206,buillding,272
1208,buillding,1534
1210,buillding,171
1212,buillding,1392
1214,buillding,879
1216,buillding,521
1218,buillding,474
1220,buillding,29
1222,buillding,1255
1224,buillding,478
1226,buillding,264
1228,buillding,940
1230,buillding,5344
1232,buillding,2587
1234,water,44
1236,water,392
1238,water,329
1240,water,403
1242,water,231
1244,water,433
1246,vege,356
1248,vege,325
1250,vege,162
1252,vege,522
1254,vege,2112
1256,vege,2665
1258,buillding,228
1260,buillding,814
1262,buillding,5455
1264,buillding,990
1266,buillding,1113
1268,buillding,609
1270,buillding,736
1272,buillding,590
1274,buillding,682
1276,buillding,3938
1278,buillding,1415
1280,buillding,778
1282,buillding,289
1284,buillding,1277
1286,buillding,1177
1288,buillding,987
1290,buillding,1
1292,buillding,3622
1294,buillding,1961
1296,water,1441
1298,water,740
1300,farm,16854
1302,farm,344
1304,background,1958
1306,farm,328
1308,farm,103
1310,background,135
1312,background,16
1314,background,6
1316,background,277
1318,background,4284
1320,background,450
1322,background,345
1324,background,361
1326,vege,769
1328,vege,8733
1330,buillding,261
1332,buillding,446
1334,buillding,647
1336,buillding,87
1338,buillding,838
1340,buillding,1002
1342,buillding,37
1344,buillding,871
1346,buillding,1370
1348,water,211
1350,water,796
1352,farm,250
1303,vege,640
1305,vege,436
1307,buillding,1864
1309,buillding,2682
1311,buillding,777
1313,water,313
1315,water,1
1317,water,479
1319,water,667
1321,water,1198
1323,water,723
1325,water,44
1327,background,1312
1329,background,432
1331,background,63
1333,background,45
1335,background,641
1337,background,1509
1339,background,1390
1341,background,324
1343,background,21
1345,background,4943
1347,background,580
1354,farm,617
1356,farm,419
1358,farm,1071
1360,background,3667
1362,background,80
1364,background,8347
1366,background,224
1368,background,326
1370,background,1358
1372,background,879
1374,background,137
1376,background,532
1378,background,3
1380,vege,938
1363,vege,5362
1365,buillding,44
1367,buillding,41
1369,farm,169
1371,farm,765
1373,farm,339
1375,background,412
1377,water,5347
1379,background,6224
1381,background,2005
1383,background,961
1385,background,210
1387,background,86
1389,background,207
1382,buillding,867
1384,buillding,121
1386,buillding,425
1388,buillding,1751
1390,buillding,210
1392,buillding,224
1394,buillding,282
1396,farm,3
1398,farm,363
1400,background,386
1402,vege,7135
1404,buillding,525
1406,buillding,42
1408,buillding,1186
1410,buillding,2548
1412,buillding,154
1414,buillding,14
1416,buillding,1486
1418,buillding,257
1420,buillding,4
1401,vege,823
1422,buillding,337
1424,buillding,497
1426,buillding,278
1428,buillding,52
1430,buillding,873
1432,vege,15922
1434,water,767
1436,water,326
1438,water,402
1440,background,129
1442,background,100
1444,background,2481
1446,background,50
1448,background,36
1450,background,275
1452,background,53
1454,background,105
1456,background,199
1458,vege,4369
1460,vege,1567
1439,vege,2686
1441,vege,1452
1443,vege,2861
1445,vege,288
1447,vege,4023
1449,buillding,1961
1451,buillding,2642
1453,buillding,1028
1455,water,693
1457,water,1002
1459,water,1279
1461,farm,69
1463,farm,219
1465,background,23
1467,background,374
1469,background,3
1471,background,73
1473,background,4992
1475,background,18
1462,vege,859
1464,buillding,1742
1466,buillding,462
1468,buillding,1173
1470,buillding,446
1472,buillding,272
1474,buillding,340
1476,buillding,457
1478,buillding,1
1480,buillding,1147
1482,buillding,57
1484,buillding,12
1486,buillding,915
1488,buillding,1829
1490,buillding,91
1492,buillding,149
1494,buillding,89
1496,water,1577
1498,water,141
1500,water,26
1502,water,230
1504,farm,39
1506,farm,1767
1508,farm,53
1510,farm,1097
1512,farm,18
1514,background,7801
1516,background,6340
1518,background,44
1520,background,70
1522,background,6
1524,background,388
1526,background,282
1528,background,345
1530,background,43
1532,background,186
1534,background,159
1536,background,1137
1538,background,83
1540,background,1318
1542,buillding,119
1544,buillding,350
1546,buillding,110
1548,buillding,16
1550,buillding,68
1552,buillding,186
1554,buillding,10
1507,buillding,780
1509,buillding,741
1511,water,892
1513,water,634
1515,farm,2133
1517,farm,1109
1519,buillding,439
1521,farm,1363
1523,farm,11734
1525,background,772
1527,farm,440
1529,vege,29847
1531,buillding,1229
1533,background,241
1535,buillding,21
1537,farm,17
1539,vege,7
1541,buillding,67
1543,background,2258
1556,buillding,1147
1558,farm,163
1560,background,24
1562,background,656
1564,background,2302
1566,background,10005
1568,background,1455
1570,background,4
1572,background,1
1574,background,4
1559,vege,157
1561,vege,329
1563,road,1362
1565,water,6067
1567,farm,1207
1569,farm,4005
1571,farm,1
1573,farm,393
1575,farm,1096
1577,farm,615
1579,farm,963
1581,farm,430
1583,farm,33283
1585,farm,6823
